global_rank,hash,author,family,known,largest_xor_comp_vars,largest_xor_comp_frac,gate_condensation_depth,gate_cyclic_module_frac,xor_equations,and_gates,semantic_fraction,residual_clauses,prior_control,selection_digest,rule
161,e685a5d96e1ee9e051f191eca84b0d88,xudong,datapath-equivalence-checking,unsat,1226.0,0.6977803073420603,4.0,0.2542372881355932,868.0,367.0,0.610144539614561,2913.0,True,7563e4b62343ef81c27ef3cb483eb792320eb7dd52b7fad08220a7db9a5c9ba8,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
174,b9a626da76f235aab854c6ef516b9240,fuhs,termination-analysis,unknown,2931.0,0.1348578264470415,13.0,0.0,7972.0,8607.0,0.7081714013489456,23278.0,False,7e5cb39484f7545b384c1aea21a01ff26fac57028be738ca9ef02e9ffa1c159d,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
192,932e2329dd1efeafe7151a0ebf3a343f,yalun,multiplier-circuit-miters,unsat,1163.0,0.4222948438634713,19.0,0.8943781942078365,848.0,1874.0,0.999778098302452,2.0,False,8ddcbe337758025940b3e5feb3aebc45c6fa903fcc400af68dc5d44c8aae13f9,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
195,b69132879ed9ea0c8af1bc1e478d6ec3,preiner,bitvector,unknown,1466.0,0.0037993349867956,769.0,0.3068467623180473,52589.0,326009.0,0.9769196933259336,28072.0,False,90930ec711823cfcef7258bf8ab0a7089d0d9fb53582d2aedbb3fff38cacf463,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
197,5cae5c0629ce1c724746af890410cfc1,jarvisalo,ensemble-computation,sat,8861.0,0.5051017499857493,11.0,0.0070237050043898,8937.0,2227.0,0.3303973498507566,77619.0,False,91d5b3980ce53bdebff00141eec29d1ab96fe5ab30eefc652767291fcdad00a6,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
204,12535b3264a9c88bac14522171b497ef,xudong,datapath-equivalence-checking,unsat,1238.0,0.4541452677916361,22.0,0.903938520653218,894.0,1800.0,0.9997771587743732,2.0,True,96a9d6e057dfff90f59d1ebbfa5447d902c1c11df2ca68eb892b6e8592b3457e,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
205,0cab9100cdd8505069301d658d085899,fuhs,termination-analysis,unsat,3100.0,0.4132231404958678,10.0,0.0004159733777038,2840.0,2491.0,0.6070907194994786,11304.0,False,97d26dfca3449fc6911b850c76d7a1f950e3f9d9a79182de8e884a2cbc422b5f,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
218,30e8b47741a4104c01eeea1d00bbce9e,post,cryptography-cbmc,unsat,3349.0,0.0066808569211403,9.0,0.0225882930646881,222615.0,189629.0,0.3951508495199924,1771109.0,False,9df89fba2a818c1b417d165060dfe9d4fc0b178fac186d10716acaefd37596dc,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
237,6e297bdb1c3f957f6333c37804805ecb,chowdhury,cellular-automata,unsat,40000.0,0.1269466474977229,300.0,0.203524826300627,64699.0,60900.0,0.2778036142450854,1116551.0,False,b28eba21a28428b0c4fc86e2acb55774cfd5a8f3431d97645620622da0918a12,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
266,04d0ae28e10d4a35ebab62f42f0200e8,preiner,bitvector,unknown,2906.0,0.002940738949206982,1493.0,0.261207605000486,135812.0,839215.0,0.9834974770317181,51356.0,True,c45a85ccd9ae402c8fb875628dab152bd1b42146b79e9c679a52c688482a08ca,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
269,4e64ffc14db014d5591f40865376c32a,chung,satcoin,unsat,39992.0,0.2827708602903223,31.0,8.170602173380178e-05,42572.0,25072.0,0.3796148417768533,400878.0,False,c82570c1982d87ea0a6c78c821b51bce39eae815b94365f4be172905e74733df,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
270,a08d0fcc98fe0ce9c53b2fd0c69ccc4b,yalun,multiplier-circuit-miters,unsat,1021.0,0.3312783906554186,58.0,0.854630715123095,722.0,2328.0,0.9997973862830514,2.0,False,c875c52fcb8a8b0186f473b7b97a2006a125e6ea71405665e0bd526bf43d2ad9,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
322,5553fec254b32349e0e48c7ee1e2d6c7,post,cryptography-cbmc,unsat,3349.0,0.0124765761503298,9.0,0.0203852705341439,118091.0,99569.0,0.3842916289915766,970341.0,False,e601f96bd7aaa7accc2452e3c11bfc4664f7016d36c549a844b36811d3617186,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
333,40ae60a61929b6bfa2ac99ab4b9a0f7e,fleury,grs-fp-comm,unsat,233450.0,0.3389700074342533,665.0,0.0361285640473457,273979.0,292020.0,0.9892420232962096,21392.0,False,ed77770b111ce760a1126c92ab118e2f1a88dedee29410f67d50ec59eaaaeda8,largest_xor_comp_vars>=1000 && gate_condensation_depth>=4
