hash,family,author,filename,n,m,exactly_one_groups,eo_clause_fraction,eo_compression_ratio,eo_clauses_covered_unique,sha256_cnf
543e67dd5abc272c37775b1b742a1d9a,quasigroup-completion,gomes,qwh.60.1728.shuffled-as.sat03-1659.cnf.xz,25162,542447,5184,1.0,0.009556694018033,542447,723f41a1b70c5f7f84cf13b29323243f974f70c61906cfa564effa7dad9d80d1
70ef2b6bdc4101a0e35cf3d165571fe3,quasigroup-completion,gomes,qwh.50.1250.shuffled-as.sat03-1655.cnf.xz,16719,331272,3750,1.0,0.0113200028979207,331272,444dbd10203b28ac37124792e382f604de561fa77e1322dd06eaf744fb195c56
a6ed647f85f20be4aedd1e9ce31cbdcd,independent-set,manyem,1-ET-256-K-55.sanitized.cnf.xz,13107,362052,253,0.7790897440146719,0.2216090506336106,282071,d16de17aa95a6b48cf1bd4e4ebd7ad8094dd6ed296330a61d9799fa388916375
8d2dfc50c1759dc11a6564d5c368c6df,equivalence-chain-principle,sambuss,FmlaImplyChain_3_7_8.sanitized.cnf.xz,18718,111923,2793,0.5490024391769341,0.4759522171492901,61446,89d2c28ed9ea8f162692c1a008fffca4bdd88580716d9419bcbdcfb30aedfe4c
c76f3c6c2e2eae85fc5f3d499f3db88d,puzzle,grinten,mp1-blockpuzzle_5x10_s7_free4.cnf.xz,2700,279150,50,0.2564929249507433,0.7436861902203117,71600,3b2b3c429773ce2cb2bcb415d87efc150fef6a37b6044dad9beb4e07756b8334
e6cdc2687fa53506021f05b60ad0c6a2,unknown,zhou,GracefulGraph-K05-P02_c18.cnf.xz,1385,27650,60,0.6622061482820977,0.3399638336347197,18310,1e6205a3adda8af2c0277c374d63c8b0ee1c39b64858a35a6fdc8c09e77a20fe
14e4cfcf0d83b2185fad41684d00d4dc,knights-tour,sterten,x9-12035.sat.sanitized.cnf.xz,600,5406,480,0.8224195338512763,0.2663706992230855,4446,6c8e00bd93fd89b1c4bc341d8e55af4cf7e3359fe861c647713dd901230a20ae
6f0e236c999de0a5e3c46fd3463b1d0d,rooks,manthey,rook-56-1-1.cnf.xz,181773,705369,112,0.2446832792481665,0.7554755028928122,172592,aa15268cfef1f3d92ca4e96a29e22dbaadc684a340cbbf5345dae50d7c5a06e8
9cd3acdb765c15163bc239ae3a57f880,equivalence-chain-principle,sambuss,FmlaEquivChain_4_6_6.sanitized.cnf.xz,54411,437952,7770,0.2838667251205611,0.7338749451994739,124320,476dff1a32c119467e51d108cb733cb93a57fb9716b6ae0b7d50697bcb3a6004
46d75199933980fdb856f13e5b1817dd,independent-set,manyem,1-TC-256-K-64.sanitized.cnf.xz,14880,446684,124,0.1958476238235531,0.8044299773441628,87482,15ee7f15c261239784b41c2476da690c6350913719b78e8c4d8d0045f3c56913
0ac5ff376b826f68d384ba05a1d00de0,planning,balyo,sokoban-p20.sas.cr.33.cnf.xz,162928,1423778,4216,0.2724244931442964,0.7305366426507504,387872,7fc79037bd96848118dd4ec65933c97afefa7d87e53917641577cb12eea59f9c
29d86d9a3b85c349e10ad68d7a713da2,independent-set,manyem,1-ZC-512-K-63.sanitized.cnf.xz,31327,1057468,509,0.8170715331338632,0.1834098053085294,864027,faefca60e7514b0eb52403aa41cbfb1f35b6aa383004b2dcc2d1138737342335
